texts,category
รัฐมันกลัวบุหรี่ซบเซาอะ มึงอึงอ้างนั่นอ้างนี่ ถุย ไอพวกเห็นแก่ได้ ไอกฎหมายล้าหลัง ดูอย่างเช่น คนรวยทำผิดเดี๋ยวแม่งก็ออก ตายายเก็บเห็ด โทษแม่งมหันต์ มึงอย่าให้กูเป็นนายกน่ะ กูร่างรัฐธรรมนูญตั้งแต่ข้อ1ยันข้อสุดท้ายใหม่หมดเลย กูว่าน่ะ ที่กฎหมายตอนนี้ยังเปลี่ยนอะไรไม่ค่อยได้ เพราะมีพวกเหี้ยๆที่ได้ผลประโยชน์ในกฎหมายตอนนี้อยู่อะดิ หัดบริหารประเทศจริงๆบ้างเหอะ กูขอละ คนไทยทุกคนเค้าก้อขอเหมือนกูแหละ สาธุ,neg
#เอะอะเล่นของ จ้าาาา งานเสริมดวงก็มา ดีต่อใจแถมดีต่อผิวหน้า เพราะแป้งน่าคุมมันจ้าาา #innisfree #NoSebumLuckyMessage,pos
ได้แป้ง Shiseido Baby Powder มา ... เห็นรีวิวละก็ดูเสียงแตก ดีบ้างไม่ดีบ้าง แต่เด็จแม่ชอบ น้องสาวชอบ นี่นางไปญี่ปุ่…,neg
ช้ากว่าเราไป 1 วัน,neu
SangSom 6 Red Open 2017 รอบแรก แข่งในระบบ 4 ใน 7 เฟรม เวลา 11.30 น. ศุภโชค ศรเสนา (ซี กำแพง) 'พบ' มงคล จันทร์แสง (เก๊า The Winner) วันที่ 28 พฤศจิกายน 2560 ส.Snooker Club พิษณุโลก,neu
ซีรี่ย์เกาเรื่องไหนบทดีๆ Netflix ช้าตลอด บางเรื่องไม่เข้าสักที เบี่ย #Netflix,neg
ชอบเทคโนโลยีที่ล้ำสมัยของฮอนด้าการขับเคลื่อนโดยพลังงานไฮโดรเจนแบบไร้ท่อไอเสีย #TheFuturelswhatwecreate,neu
กูกับแก๊งอีป้ารอบๆ คือโบกจนเขม่นกัน โบกจนเหนื่อยจนล้า จนกลายเป็นเห็นใจกันละด่าแท็กซี่ด้วยกันละอะ เกลียดอีป้าแต่ก็คือไม่ได้ไปทั้งคู่อะ ลบบวกลบเป็นบวกอะ อปป้าคนขับแท็กซี่เหมือนมองไม่เห็นกูอะ กูเป็นผีเหรอ อีกนิดกูจะชวนแก๊งอีป้าทำโปรเจ็กต์เรียกอปป้าละนะ /meกางแผ่นกระดาษเขียนว่าอีควาย,neg
อยากผิงแม่แก้หนาวว จิบแสงโสมเบาๆ ถ้าบัตรฟรี เดี๋ยวเลี้ยงเหล้าเอง อิอิ,pos
รบกวนผู้รู้ด้วยครับ ขับรถมาดีดี ตั้งนาน ไม่มีอะไร พอมาวันนี้ ขึ้นทางด่วน ความเร็วอยู่ที่ 90 กม/ชม แล้วก็เกิดเสียงแบบนี้ดังขึ้น ที่บริเวณฝั่งซ้าย ของรถ มันเกิดจากอะไรครับ พอลดความเร็ว เสียงก็หายไป ปล.รถผม honda civic ตัวใหม่ ขับมาได้ประมาณ 1 ปีครับ ไม่เคยชนอะไรทั้งนั้น รบกวนด้วยครับ จะได้แก้ไขถูก ?!!!,neg
กัส,neu
ดู the little mermaid จบละอะ ไม่สนุกเลอออ ถ้า เต็ม10คือให้ 6 อะ ในรีวิว netflix คือมีคนให้ 10/10 อะ,neg
จัดเรยวันนี้😳😳,pos
อ่า เลิกช้า โอ้ยยยย,neu
บาบิก้อนนนน,neu
ค่าเช่าชุดน่าจะแพงกว่าค่าอาหาร5555,neg
ไปกัลลลลลล,pos
เอาจริงๆ เมื่อก่อนมีเป็นหมึกกระดองยัดไส้นะครับ อร่อยมาก เดี๋ยวนี้ไม่เห็นมีแล้ว เปลี่ยนเป็นหมึกตัวยาวๆซะละ,neg
ลองใช้ดู แล้วจะรู้ว่า ปจด.ที่เราคิดว่ามาเยอะตอนอยู่บนผ้าอนามัย มันไม่ได้มากอย่างที่คิดค่ะ ถอดมา ทั้งวันนี่คือ~20 cc.อะค่ะ เปลี่ยนไม่บ่อยเท่าผ้าอนามัยหรอกค่ะ วันมาปกตินี่อยู่ได้8ชม.อะ,neu
เที่ยงพรุ่งนี้ว่าจะไปกินสักหน่อย แต่พออ่านคอมเม้นแล้วเปลี่ยนใจไม่ไปกินดีกว่า,neu
ห่วยมากครับ 3 วันดี 4 วันห่วย ถ้าไม่รีบแก้จะย้ายไป ais fiber แล้ว เพราะทุกวันนี่ก็ อาศัย ais fiber ของพี่ข้างบ้านใช้ ตอนที่ true ห่วย,neg
สาขาท่ายาง จังหวัดเพชรบุรี ของน้อยมาก ไม่สด ไม่มีซูชิ ของแช่แข็งเก่าๆ,neg
แม้ฝีมือจะกาก แต่มีดวง กิกิ,pos
คนไทยไม่ได้แดกหญ้าครับ >>> ประชาธิปัตย์ โต้เพื่อไทย ปมเป่านกหวีด ล้มรัฐบาลเลือกตั้ง โวยขุดความเท็จใส่ร้าย!,neg
ทำมัยต้องปาเจโร่ เอเวอเรสต์ก็มี มิวเอ็กซ์ก็มี ฟอจูนเนอร์ ก็มี ค่ายอื่นเค้าน้อยใจนะ,neu
ไปสิคะ,pos
มาทาน MK สาขานี้ พนักงานน่ารักมากๆ พี่ผช.ที่ออกสาวๆหน่อย ใส่ใจลูกค้าทุกโต๊ะเลย,pos
ผมว่านี้คือเคสตัวอย่างที่พวกเรารอมานานหลายปี บทสรุปเปนยังไง รอศาลตัดสิน พกe6น่ากัวกว่าพกม้า10เม็ดอีก Thailand Only,neu
ใช่คับอย่าหลงเชื่อผมใช้มา7เดือนสมองผมเป็นลืมๆจำไม่ได้เลยว่าอะไรคือบุหรี่ม้วน555,pos
มาให้ใวๆรอชมอยู่ ค้ายอื่นไปแล้ว ค้ายนี้มาช้าแต่ชัวร์ เคยใช้แต่นาวาร่า รอบนี้ suv สวยจริงๆ หน้าคมเข้มมาก ดูน่าเกรงขาม,neu
คงได้แต่ ลค นิสสันเดิม เพราะคนที่ซื้อโตต้า ฟอร์ด มิตซู เค้าคงไม่ชอบ,neg
จับเวลารึป่าวคะ,pos
เราเลิกบุหรี่มวนได้ 10 เดือนล่ะ เพราะ e-cig ปัจจุบันก้อสูบแต่วันละไม่กี่ที ที่สำคัญกลับไปสูบแบบมวนไม่ได้ เหม็น ได้กลิ่นคนอื่นสูบก้อเหม็นหว่ะ,neu
ในเชิงบริหารผมว่าพรรคนั้นไม่ควรขึ้นไปนั่งนะ ดูแล้วไม่น่ารอด แต่ควรเอาดีทางด้านส่งเสริมกิจกรรมมากกว่า ถ้าบริหารต้องเลือกอีกพรรคนึงที่ชื่อ*แบะๆ*ถึงจะโอเค,neg
ห้องและบริเวณโรงแรมสะอาดเรียบร้อย เงียบสงบ มีที่จอดรถเยอะ มีกาต้มน้ำร้อนในห้อง ห้องน้ำสะอาดแบ่งห้องเปียกและแห้ง,pos
รองพื้น TRUEMATCH is my SOULMATE! อยากได้รองพื้น TRUEMATCH เพราะเป็นรองพื้นที่ชอบมากๆ ค่ะ ทาแล้วทำให้ผิวดูสวย เด้ง โกลว แบบเป็นธรรมชาติ ยิ่งถ่ายรูปออกมานี่หน้าเนียนเด้ง สวยงาม ดูผิวใสเป็นธรรมชาติ มีโทนสีที่เหมาะกับผิวเรามากๆ ไม่เป็นคราบ ไม่หนาจนทำให้รู้สึกเหนอะผิวด้วยค่ะ ชอบมากๆ เลย #LOrealParisTH #TrueMatch #TrueToMyShade #ลอรีอัลปารีสเมคอัพ,pos
เป็นได้แค่ กิ๊ก สนใจครับ,neu
รึนานแล้ว นจ.หลายวันรึป่าว😂,neu
แสงโสมเรียกหงทอง แสงโสมเรียกหงทอง ขณะนี้ 40ดีกรี ได้เตรียมพร้อมแล้ว,neu
Smirnoff กำลังจะจัด fire zonic หรอ?,neu
00.30 โรงภาพยนตร์ลิโด มัลติเพล็กซ์ ปิดไฟด้านหน้า อำลาอย่างเป็นทางการ หลังยืนหยัดเป็นโรงหนังย่านสยามสแควร์มานาน 50 ปี ฉายรอบสุดท้ายปิดม่านที่โรง 3 เวลา 23.30 น. คนมาอำลากันเนืองแน่น แต่บรรยากาศตอนนี้เงียบเหงาจนน่าใจหาย #Lido #อำลาลิโด #อำลาลิโด้ @tnnthailand #TNN24 #ช่อง16,neu
"หนุ่มคนไหนอยากจีบน้องเนย แนะนำให้ถือช่อนี้นะคะ หรือจะเป็นบอนชอน,เคเอฟซี,แมคโดนัลด์ น้องเนยสะดวกทุกร้านจ้าา",neu
หื๊ยยยยย,neu
อยู่ในเมือง เดินทางสะดวก มีรถประจำทางผ่านตลอด,pos
"ขนาดนั้นเลยเหลอเมืองไทย ดีจ้าเลิกทั้งเมืองไทยก็จะดีนะ เลิกเบียร์ช้าง, สิงห์ กะทิงแรด..ประชาชนจะใด้ตายน้อยหน่อย",neg
เตียงใหญ่มากพอที่นอนสามคนได้สบาย,pos
ทา anti melasma ของ eucerin มาจะสองอาทิตย์ละ ยังไม่เห็นผลไรเลย,neg
กระทรวงพาณิชย์ประสานเอกชนนำสินค้าอุปโภคบริโภคเข้าช่วยเหลือผู้ประสบภัยภาคใต้ พร้อมคุ้มเข้มการฉวยโอกาสขึ้นราคาสินค้า,neu
เห้ออออ ค่าเช่าชุดน่าจะแพงกว่าค่าอาหาร,neg
พี่อยากกินปิ้งย่างงงงงง,neu
เป็นเมดที่สิงคโปร์เงินไม่ดีเท่าไหร่หรอกค่ะ แค่เมดที่บ้านใช้ sk-ii ครบเซทแค่นั้นเอง 5555555555555555555555,neg
จะกินชุดนี้,pos
เบียร์ช้างพอป่าวพี่,neu
ไม่ใด้ครับรายใด้หลักเค้ามาจากตรงนี้,neg
#Mazda3 #เช็ครถสตาร์ทไม่ติด,neg
จะไม่รวยได้ไง. เบียร์ช้างขายดี้ดี... ซีพี 7 กรู ก็เข้าทุกวัน.. #ผู้สนับสนุน😂😂,neu
แพงอีนี่เลย ชิเซโด้,neg
อยากให้มีกุ้งง่า,neg
น่าจะเป็นสปอนเซอร์ร่วม เหมือนเบียร์สิงห์,neu
เลี้ยงเพื่อนหน่อยจิ,pos
นี่ซื้อหัวชีช่าจากโอมานมาบาห์เรนแล้วแล้วหิ้วกับไปดูไบ ต.ม เขาตรวจเจอนะแต่ไม่มีปัญหาอะไรเลย ไทยนี่ไม่ได้เลยถ้าตรวจเจอยิ่งกว่ายาบ้าอีก ถุยสัส😠😡,neg
พินาน่า lip lacquer ของนันดาพี่ว่าไง ดีมั้ยยย มันต่างกับของอีทูดี้ยังไงนอกจากชื่อแบรนด์อะคะ — คล้ายๆกันเลยค่ะแต่พี่…,neg
มอบสช.สำรวจอีกครั้งครูเอกชนอยากใช้สิทธิบัตรทองหรือไม่,neu
สั่ง รพ.กรุงเทพ คืนสิทธิรักษาตลอดชีวิต #คมชัดลึก,neu
สุดยอดครับนิ่มด้วยพูดง่ายขัลสบายสไตฮอนด้านะครับ,pos
เมื่อมีชาวบ้านประท้วงการสร้างเหมือง รัฐตั้งกรรมการ 5 ฝ่าย ประยุทธ์ใช้วิธีง่ายๆ โดยใช้ ม.44 หยุดเหมือง ประยุทธ์ไม่ได้ห่วงชาวบ้าน แต่แก้ปัญหาแบบตู่ เพราะ พรบ.แร่ ฉบับใหม่ยังงอกออกมา (ฉบับบนี่ลดการมีส่วนร่วม ไม่ต้องศึกษา EIA ใช้เสียงข้างมากก็ผ่าน) (3) #เหมืองทองอัครา,neg
ชีวาสนี้เมา,neg
แต่ผ่านศุลกากร ซึ่งผมเข้าใจว่ามีการเสียภาษีแล้วละสิ แต่ถ้าไม่เสียภาษี ของไม่น่าจะถึงมือผมนะผมว่า,neg
แล้วแต่ชอบ ไม่ชอบก้อแล้วแต่,pos
เออ แต่ยังดีที่หลังไปกินอากะแล้วห่างบาบิก้อน ไม่งั้นช้ำใจกว่านี้ 5555,neg
ก้อนเองยังหิววว 😆,neu
พุธไหนจะได้เจอกัน,pos
อยาก...,pos
งื้ออออออออออออ,neu
ดร.จักษ์ พันธ์ชูเพชร กกบ.พรรคไปร่วมเปิดสำนักงานพรรครวมพลังประชาชาติไทย จังหวัดจันทบุรี พร้อมทั้งทำไพรมารีโหวตผู้สมัครของพรรคได้ครบทั้ง 3 เขต พร้อมลุยสนามเลือกตั้งแก้ปัญหาปากท้องประชาชนและชูธงปฏิรูป #คนธรรมดาสร้างชาติ,neu
ถามหน่อยครับที่ร่วมลงชื่อต้องกดตรงไหนผมไม่แน่ใจว่าลงยังไม่รุ้ถุกวิธีมั้ย,pos
สูบมา4ปีไปตรวจปอดปกติครับ,neu
เมื่อ Civic Type R คันนี้ขับเคลื่อนสี่ล้อ...ก็มันส์ล่ะสิงานนี้,neu
บึงกาฬ,neu
Vdo เปิดตัว Ford Ranger Raptor ในงาน Motor Show 2018,neu
จะบอกว่าสาขาโลตัสภูเก็ตพนง น้อย บริการช้า เพิ่มพนง หน่อยค่ะ จะได้ทั่วถึง รสชาติอร่อยเหมือนเดิม,neg
กาวข้างหลังผ้าอนามัยติดทุกอย่างยกเว้นกางเกงในจ้าาา ใส่ดีๆ อย่าให้มันพลิกกลับด้านเด็ดขาด ไม่งั้นมีร้อง เอื้ออออออ 55555,neg
ผมบอกแล้วไง ว่าไม่ได้หมายถึง เมฆ มังกรบิน #คนที่ทำดีแล้วออกสื่อสร้างภาพเพื่อประโยชน์ของตัวเองตามมาภายหลัง ที่คุณกล่าวถึงว่าไม่ดี ตรงนี้ต่างหากที่ผมถาม อย่างเบียร์ช้าง สนับสนุนทีมชาติปีละ100ล้าน เพื่อสร้างภาพให้องค์กรตัวเองดูดี ลงข่าวใหญ่โต #ผมถามนักบุญจอมโพสต์แบบนี้ ไม่ดียังไง ตอบผมหน่อย,neg
นึกว่าย้าย เสียดายเลยจะกินที่ไหนล่ะทีนี้,neg
ขนเสดไง,neu
ต้องรุ่นนี้เลยครับ Honda Civic มันเป็นรถที่มีเสน่ห์มากๆ ผมไปเดินงาน MotorShow ทีไรต้องมองและเข้าไปลองสัมผัสทุกที แต่ยังเก็บเงินซื้ออยู่ครับ รุ่นนี้บอกเลยผมต้องซื้อมาขับเป็นคันแรกแน่นอน (ขอเก็บเงินอีกหน่อย ใกล้แล้วๆ) ปล.ไม่มีภาพคู่กับรถ แต่อีกไม่นานครับ ฝันน....ให้ไกลไปให้ถึง #ฮอนด้าที่รัก #EnjoyHondaThailand,pos
เสียเวลา,neg
สงสารไอตัวเล็กอะดิ,neu
เหมือนเเบล็ก รสฝาดเซลมาให้ลองขวดนึง,neu
